test,param,addr,d4,us,cycles,val,cap,passed
delay,bare,192,3,20,7553,42,True,True
delay,bare,194,3,20,7553,42,True,True
delay,bare,196,3,20,7553,42,True,True
delay,bare,198,3,20,7553,42,True,True
delay_via,preamble,60,3,1,10013,42,True,True
delay_via,preamble,62,3,1,10019,42,True,True
delay_via,preamble,64,3,1,10025,42,True,True
delay_via,preamble,66,3,1,10031,42,True,True
delay_via,preamble,68,3,1,10037,42,True,True
delay_via,preamble,70,3,1,10043,42,True,True
delay_via,preamble,72,3,1,10049,42,True,True
delay_via,preamble,74,3,1,10055,42,True,True
delay_via,preamble,76,3,1,10061,42,True,True
delay_via,preamble,78,3,1,10067,42,True,True
delay_via,preamble,80,3,1,10073,42,True,True
delay_via,preamble,82,3,1,10079,42,True,True
delay_via,preamble,84,3,1,10085,42,True,True
delay_via,preamble,86,3,1,10091,42,True,True
delay_via,preamble,88,3,1,10097,42,True,True
delay_via,preamble,90,3,1,10103,42,True,True
delay_via,preamble,92,3,1,10109,42,True,True
delay_via,preamble,94,3,1,10115,42,True,True
delay_via,preamble,96,3,1,10121,42,True,True
delay_via,preamble,98,3,1,10127,42,True,True
delay_via,preamble,100,3,1,10133,42,True,True
delay_via,preamble,102,3,1,10139,42,True,True
delay_via,preamble,104,3,1,10145,42,True,True
delay_via,preamble,106,3,1,10151,42,True,True
delay_via,preamble,108,3,1,10157,42,True,True
delay_via,preamble,110,3,1,10163,42,True,True
delay_via,preamble,112,3,1,10169,42,True,True
delay_via,preamble,114,3,1,10175,42,True,True
delay_via,preamble,116,3,1,10181,42,True,True
delay_via,preamble,118,3,1,10187,42,True,True
delay_via,preamble,120,3,1,10193,42,True,True
delay_via,preamble,122,3,1,10199,42,True,True
delay_via,preamble,124,3,1,10205,42,True,True
delay_via,preamble,126,3,1,10211,42,True,True
delay_via,preamble,128,3,1,10217,42,True,True
delay_via,preamble,130,3,1,10223,42,True,True
delay_via,preamble,132,3,1,10229,42,True,True
delay_via,preamble,134,3,1,10235,42,True,True
delay_via,preamble,136,3,1,10241,42,True,True
delay_via,preamble,138,3,1,10247,42,True,True
delay_via,preamble,140,3,1,10253,42,True,True
delay_via,preamble,142,3,1,10259,42,True,True
delay_via,preamble,144,3,1,10265,42,True,True
delay_via,preamble,146,3,1,10271,42,True,True
delay_via,preamble,148,3,1,10277,42,True,True
delay_via,preamble,150,3,1,10283,42,True,True
delay_via,preamble,152,3,1,10289,42,True,True
delay_via,preamble,154,3,1,10295,42,True,True
delay_via,preamble,156,3,1,10301,42,True,True
delay_via,preamble,158,3,1,10307,42,True,True
delay_via,preamble,160,3,1,10313,42,True,True
delay_via,preamble,162,3,1,10319,42,True,True
delay_via,preamble,164,3,1,10325,42,True,True
delay_via,preamble,166,3,1,10331,42,True,True
delay_via,preamble,168,3,1,10337,42,True,True
delay_via,preamble,170,3,1,10343,42,True,True
delay_via,preamble,172,3,1,10349,42,True,True
delay_via,preamble,174,3,1,10355,42,True,True
delay_via,preamble,176,3,1,10361,42,True,True
delay_via,preamble,178,3,1,10367,42,True,True
delay_via,preamble,180,3,1,10373,42,True,True
delay_via,preamble,182,3,1,10379,42,True,True
delay_via,preamble,184,3,1,10385,42,True,True
delay_via,preamble,186,3,1,10391,42,True,True
delay_via,preamble,188,3,1,10397,42,True,True
delay_via,preamble,190,3,1,10403,42,True,True
delay_via,preamble,192,3,1,10409,42,True,True
delay_via,preamble,194,3,1,10415,42,True,True
delay_via,preamble,196,3,1,10421,42,True,True
delay_via,preamble,198,3,1,10427,42,True,True
delay_via,preamble,60,3,5,10013,42,True,True
delay_via,preamble,62,3,5,10019,42,True,True
delay_via,preamble,64,3,5,10025,42,True,True
delay_via,preamble,66,3,5,10031,42,True,True
delay_via,preamble,68,3,5,10037,42,True,True
delay_via,preamble,70,3,5,10043,42,True,True
delay_via,preamble,72,3,5,10049,42,True,True
delay_via,preamble,74,3,5,10055,42,True,True
delay_via,preamble,76,3,5,10061,42,True,True
delay_via,preamble,78,3,5,10067,42,True,True
delay_via,preamble,80,3,5,10073,42,True,True
delay_via,preamble,82,3,5,10079,42,True,True
delay_via,preamble,84,3,5,10085,42,True,True
delay_via,preamble,86,3,5,10091,42,True,True
delay_via,preamble,88,3,5,10097,42,True,True
delay_via,preamble,90,3,5,10103,42,True,True
delay_via,preamble,92,3,5,10109,42,True,True
delay_via,preamble,94,3,5,10115,42,True,True
delay_via,preamble,96,3,5,10121,42,True,True
delay_via,preamble,98,3,5,10127,42,True,True
delay_via,preamble,100,3,5,10133,42,True,True
delay_via,preamble,102,3,5,10139,42,True,True
delay_via,preamble,104,3,5,10145,42,True,True
delay_via,preamble,106,3,5,10151,42,True,True
delay_via,preamble,108,3,5,10157,42,True,True
delay_via,preamble,110,3,5,10163,42,True,True
delay_via,preamble,112,3,5,10169,42,True,True
delay_via,preamble,114,3,5,10175,42,True,True
delay_via,preamble,116,3,5,10181,42,True,True
delay_via,preamble,118,3,5,10187,42,True,True
delay_via,preamble,120,3,5,10193,42,True,True
delay_via,preamble,122,3,5,10199,42,True,True
delay_via,preamble,124,3,5,10205,42,True,True
delay_via,preamble,126,3,5,10211,42,True,True
delay_via,preamble,128,3,5,10217,42,True,True
delay_via,preamble,130,3,5,10223,42,True,True
delay_via,preamble,132,3,5,10229,42,True,True
delay_via,preamble,134,3,5,10235,42,True,True
delay_via,preamble,136,3,5,10241,42,True,True
delay_via,preamble,138,3,5,10247,42,True,True
delay_via,preamble,140,3,5,10253,42,True,True
delay_via,preamble,142,3,5,10259,42,True,True
delay_via,preamble,144,3,5,10265,42,True,True
delay_via,preamble,146,3,5,10271,42,True,True
delay_via,preamble,148,3,5,10277,42,True,True
delay_via,preamble,150,3,5,10283,42,True,True
delay_via,preamble,152,3,5,10289,42,True,True
delay_via,preamble,154,3,5,10295,42,True,True
delay_via,preamble,156,3,5,10301,42,True,True
delay_via,preamble,158,3,5,10307,42,True,True
delay_via,preamble,160,3,5,10313,42,True,True
delay_via,preamble,162,3,5,10319,42,True,True
delay_via,preamble,164,3,5,10325,42,True,True
delay_via,preamble,166,3,5,10331,42,True,True
delay_via,preamble,168,3,5,10337,42,True,True
delay_via,preamble,170,3,5,10343,42,True,True
delay_via,preamble,172,3,5,10349,42,True,True
delay_via,preamble,174,3,5,10355,42,True,True
delay_via,preamble,176,3,5,10361,42,True,True
delay_via,preamble,178,3,5,10367,42,True,True
delay_via,preamble,180,3,5,10373,42,True,True
delay_via,preamble,182,3,5,10379,42,True,True
delay_via,preamble,184,3,5,10385,42,True,True
